,PSR name,J-Name,P (s),B (G),NF (%),References
67,J1715-4034,J1715-4034,2.0722,2.53E+12,≤6,Gajjar (2017)
68,B1713-40,J1717-4054,0.8877,1.83E+12,77±5,Young et al. (2015)
,B1713-41,J1717-4055,0.8877,1.83E+12,≥95,Wang et al. (2007)
69,B1718-32,J1722-3207,0.4772,5.62E+11,1±1,Naidu et al. (2017)
70,J1725-4043,J1725-4043,1.4651,2.05E+12,≤70,Gajjar (2017)
71,J1727-2739,J1727-2739,1.2931,1.21E+12,52±3,Wang et al. (2007)
72,B1727-47,J1731-4744,0.8298,1.18E+13,≤0.1,Biggs (1992)
73,B1730-37,J1733-3716,0.3376,2.28E+12,52.4±3.5,Basu et al. (2017)
74,J1738-2330,J1738-2330,1.9788,4.16E+12,85.1±2.3,Gajjar (2017)
75,B1737+13,J1740+1311,0.8031,1.09E+12,≤0.02,Weisberg et al. (1986)
76,B1738-08,J1741-0840,2.0431,2.18E+12,30±5,Gajjar et al. (2017)
,B1738-09,J1741-0841,2.0431,2.18E+12,15.8±1.7,Basu et al. (2017)
77,J1744-3922,J1744-3922,0.1724,16500000000,≤75,Faulkner et al. (2004)
78,B1742-30,J1745-3040,0.3674,1.99E+12,≤17.5,Biggs (1992)
79,B1747-46,J1751-4657,0.7424,9.91E+11,2.4±0.5,Basu et al. (2017)
80,J1752+2359,J1752+2359,0.4091,5.19E+11,≤89,Gajjar (2017)
81,B1749-28,J1752-2806,0.5626,2.16E+12,≤0.75,Ritchings (1976)
82,J1752+2359,J1752+2359,0.4091,5.19E+11,81,Yang et al. (2014)
83,B1758-03,J1801-0357,0.9215,1.77E+12,26±2.6,Basu et al. (2017)
84,J1808-0813,J1808-0813,0.876,1.05E+12,1.28±1.3,Basu et al. (2017)
85,B1809-173,J1812-1718,1.2054,4.85E+12,5.8±0.4,Wang et al. (2007)
86,B1813-36,J1817-3618,0.387,9.01E+11,16.7±0.7,Basu et al. (2017)
87,J1819+1305,J1819+1305,1.0604,6.25E+11,41±6,Yang et al. (2014)
88,B1818-04,J1820-0427,0.5981,1.97E+12,≤0.25,Biggs (1992)
89,J1820-0509,J1820-0509,0.3373,5.67E+11,67±3,Wang et al. (2007)
90,B1819-22,J1822-2256,1.8743,1.61E+12,10±2,Naidu et al. (2017)
,B1819-23,J1822-2257,1.8743,1.61E+12,4.7±0.9,Basu et al. (2017)
,B1819-24,J1822-2258,1.8743,1.61E+12,5.5±0.7,Basu et al. (2017)
91,B1821+05,J1823+0550,0.7529,4.18E+11,≤0.4,Weisberg et al. (1986)
92,J1831-1223,J1831-1223,2.858,3.99E+12,4±1,Wang et al. (2007)
93,J1833-1055,J1833-1055,0.6336,5.85E+11,7±2,Wang et al. (2007)
94,J1840-0840,J1840-0840,5.3094,1.13E+13,50±6,Gajjar et al. (2017)
95,B1839+09,J1841+0912,0.3813,6.52E+11,≤5,Weisberg et al. (1986)
